,ndcgpc,diffpc,Eucpc,reldiffpc,nodes_real,nodes_pc,ndcgpriv,diffpriv,Eucpriv,reldiffpriv,nodessimpriv,nodes_priv
274,1.0,17.0,16.0312195418814,0.055941845764854614,819.0,802.0,1.0,34.0,34.0,0.04298356510745891,0.9584859584859585,785.0
275,1.0,10.0,7.615773105863909,0.11599241466498103,819.0,823.0,1.0,17.0,16.0312195418814,0.055941845764854614,0.9816849816849816,804.0
276,1.0,62.0,56.32051136131489,0.28508217446270545,819.0,769.0,1.0,13.0,9.848857801796104,0.15423514538558786,0.9938949938949939,814.0
277,1.0,31.0,24.351591323771842,0.3147914032869785,819.0,834.0,1.0,15.0,10.63014581273465,0.2945638432364096,0.9987789987789988,820.0
278,1.0,37.0,33.24154027718932,0.1845764854614412,819.0,782.0,1.0,33.0,33.0,0.041719342604298354,0.9597069597069597,852.0
279,1.0,6.0,6.0,0.007585335018963337,819.0,813.0,1.0,21.0,15.0,0.3365992414664981,0.9743589743589743,798.0
280,1.0,19.0,18.027756377319946,0.05847029077117573,819.0,836.0,1.0,15.0,14.035668847618199,0.0534134007585335,0.9816849816849816,834.0
281,1.0,15.0,14.035668847618199,0.0534134007585335,819.0,804.0,1.0,9.0,8.06225774829855,0.04582806573957016,0.9914529914529915,812.0
282,1.0,16.0,13.341664064126334,0.12357774968394436,819.0,809.0,1.0,5.0,3.605551275463989,0.07522123893805309,0.9938949938949939,824.0
283,1.0,44.0,34.785054261852174,0.43457648546144123,819.0,775.0,1.0,35.0,34.0147027033899,0.07869785082174463,0.9597069597069597,852.0
